ID_ZLECENIA_PALONA;DTZAPIS;ILOSC_PALONA;NUMERZASYPU;IDZLECENIE;NUMERPIECA;Anulowany;Zagubiona;SUMA_ZIELONEJ;QuantityError;PREV_ILOSC_PALONA;Posted;ZbiornikKawyPalonej;LockedByEditor;dtLastEdited;ExternalErrorCleaner;READJUSTED_BY;TruckNo1;TruckNo2;dtRoastingStart;dtRoastingFinish;ikWh_counter_start;ikWh_counter_finish;im3_counter_start;im3_counter_finish;ikWh_multiplier;im3_multiplier;ikWh_unit_name;im3_unit_name;ikWh_consumption;im3_consumption;ikWh_counter1_start;ikWh_counter1_finish;ikWh_multiplier1;ikWh_unit_name1;ikWh_consumption1;ikWh_total_consumption;lTriggerCounter
1206750;2024-01-10 02:55:26.560;348,3;3;138618;3000;0;NULL;402,5;0;348;0;650;NULL;2024-01-10 03:19:55.337;NULL;NULL;9;NULL;2024-01-10 03:03:40.717;2024-01-10 03:11:03.070;1115043;1115061;502214;502224;1;1;kWh;m3;18;10;NULL;NULL;NULL;NULL;NULL;18;248
1206749;2024-01-10 02:53:26.063;517,1;3;138619;4000;0;NULL;599,6;0;517,1;0;652;NULL;2024-01-10 03:20:52.783;NULL;NULL;NULL;NULL;2024-01-10 03:07:25.143;2024-01-10 03:15:18.847;3858303;3858314;15111537;15112796;1;1;kWh;m3;11;1259;10914479;10914621;0,01;kWh;1,42;12,42;2023
1206748;2024-01-10 02:45:55.250;518,1;2;138619;4000;0;NULL;599,6;0;518,1;1;652;NULL;2024-01-10 03:11:50.747;NULL;NULL;NULL;NULL;2024-01-10 02:58:56.283;2024-01-10 03:06:22.740;3858292;3858301;15110264;15111537;1;1;kWh;m3;9;1273;10914335;10914450;0,01;kWh;1,15;10,15;2022
1206747;2024-01-10 02:42:33.627;347,2;2;138618;3000;0;NULL;401,4;0;347,2;1;649;NULL;2024-01-10 03:11:50.560;NULL;NULL;3;NULL;2024-01-10 02:54:20.300;2024-01-10 03:01:57.233;1115022;1115040;502204;502214;1;1;kWh;m3;18;10;NULL;NULL;NULL;NULL;NULL;18;246
1206746;2024-01-10 02:40:44.000;519,3;1;138619;4000;0;NULL;599,7;0;519,3;1;652;NULL;2024-01-10 03:01:49.647;NULL;NULL;NULL;NULL;2024-01-10 02:48:27.103;2024-01-10 02:55:50.800;3858279;3858288;15108954;15110264;1;1;kWh;m3;9;1310;10914125;10914270;0,01;kWh;1,45;10,45;2021
1206745;2024-01-10 02:37:41.000;346;1;138618;3000;0;NULL;401,2;0;346,3;0;649;NULL;2024-01-10 03:00:07.560;NULL;NULL;3;NULL;2024-01-10 02:41:58.037;2024-01-10 02:49:36.187;1114995;1115011;502192;502202;1;1;kWh;m3;16;10;NULL;NULL;NULL;NULL;NULL;16;244
1206744;2024-01-10 02:22:09.697;266,1;10;138617;3000;0;NULL;310,3;0;266,1;1;617;NULL;2024-01-10 02:42:50.147;NULL;NULL;NULL;NULL;2024-01-10 02:30:55.130;2024-01-10 02:36:22.917;1114970;1114981;502182;502190;1;1;kWh;m3;11;8;NULL;NULL;NULL;NULL;NULL;11;242
1206743;2024-01-10 02:15:38.140;262,9;9;138617;3000;0;NULL;307,2;0;262,9;1;617;NULL;2024-01-10 02:33:49.793;NULL;NULL;NULL;NULL;2024-01-10 02:21:36.390;2024-01-10 02:26:43.867;1114949;1114960;502173;502180;1;1;kWh;m3;11;7;NULL;NULL;NULL;NULL;NULL;11;240
1206742;2024-01-10 02:06:42.963;262,8;8;138617;3000;0;NULL;306,3;0;262,8;1;617;NULL;2024-01-10 02:26:50.280;NULL;NULL;NULL;NULL;2024-01-10 02:14:58.130;2024-01-10 02:20:20.933;1114934;1114945;502164;502172;1;1;kWh;m3;11;8;NULL;NULL;NULL;NULL;NULL;11;238
1206741;2024-01-10 01:58:24.817;263,8;7;138617;3000;0;NULL;307,8;0;263,8;1;617;NULL;2024-01-10 02:17:50.477;NULL;NULL;NULL;NULL;2024-01-10 02:06:12.217;2024-01-10 02:11:22.490;1114914;1114925;502155;502163;1;1;kWh;m3;11;8;NULL;NULL;NULL;NULL;NULL;11;236
1206740;2024-01-10 01:50:56.477;264,6;6;138617;3000;0;NULL;308,7;0;264,6;1;617;NULL;2024-01-10 02:09:49.743;NULL;NULL;NULL;NULL;2024-01-10 01:57:52.590;2024-01-10 02:03:01.990;1114896;1114907;502146;502154;1;1;kWh;m3;11;8;NULL;NULL;NULL;NULL;NULL;11;234
1206739;2024-01-10 01:42:54.973;262,7;5;138617;3000;0;NULL;307,2;0;262,7;1;617;NULL;2024-01-10 02:02:50.030;NULL;NULL;NULL;NULL;2024-01-10 01:50:13.543;2024-01-10 01:55:28.360;1114878;1114890;502137;502145;1;1;kWh;m3;12;8;NULL;NULL;NULL;NULL;NULL;12;232
1206738;2024-01-10 01:35:47.287;265;4;138617;3000;0;NULL;309,6;0;265;0;617;NULL;2024-01-10 01:53:54.883;NULL;NULL;NULL;NULL;2024-01-10 01:42:24.867;2024-01-10 01:47:30.320;1114861;1114872;502129;502136;1;1;kWh;m3;11;7;NULL;NULL;NULL;NULL;NULL;11;230
1206737;2024-01-10 01:31:32.327;512,2;7;138616;4000;0;NULL;600,8;0;512,2;1;650;NULL;2024-01-10 02:03:50.327;NULL;NULL;NULL;NULL;2024-01-10 01:50:58.147;2024-01-10 01:58:15.437;3858225;3858235;15107727;15108954;1;1;kWh;m3;10;1227;10913593;10913719;0,01;kWh;1,26;11,26;2020
